 Epoch: 0000;precision@5= 0.3285,precision@10= 0.2860,recall@5= 0.1112,recall@10= 0.1854,map= 0.2197,mrr= 0.5618
 Epoch: 0001;precision@5= 0.3402,precision@10= 0.2899,recall@5= 0.1159,recall@10= 0.1870,map= 0.2241,mrr= 0.5740
 Epoch: 0002;precision@5= 0.3544,precision@10= 0.3011,recall@5= 0.1175,recall@10= 0.1916,map= 0.2337,mrr= 0.5922
 Epoch: 0003;precision@5= 0.3595,precision@10= 0.3034,recall@5= 0.1202,recall@10= 0.1905,map= 0.2343,mrr= 0.5841
 Epoch: 0004;precision@5= 0.3578,precision@10= 0.3015,recall@5= 0.1183,recall@10= 0.1921,map= 0.2339,mrr= 0.5878
 Epoch: 0000;precision@5= 0.3265,precision@10= 0.2822,recall@5= 0.1084,recall@10= 0.1778,map= 0.2162,mrr= 0.5577
 Epoch: 0001;precision@5= 0.3416,precision@10= 0.2901,recall@5= 0.1131,recall@10= 0.1787,map= 0.2273,mrr= 0.5804
 Epoch: 0002;precision@5= 0.3346,precision@10= 0.2908,recall@5= 0.1093,recall@10= 0.1783,map= 0.2282,mrr= 0.5700
 Epoch: 0003;precision@5= 0.3484,precision@10= 0.2966,recall@5= 0.1139,recall@10= 0.1846,map= 0.2320,mrr= 0.5859
 Epoch: 0004;precision@5= 0.3393,precision@10= 0.2890,recall@5= 0.1120,recall@10= 0.1783,map= 0.2288,mrr= 0.5721
 Epoch: 0000;precision@5= 0.3215,precision@10= 0.2752,recall@5= 0.1068,recall@10= 0.1753,map= 0.2104,mrr= 0.5503
 Epoch: 0001;precision@5= 0.3385,precision@10= 0.2859,recall@5= 0.1117,recall@10= 0.1814,map= 0.2217,mrr= 0.5759
 Epoch: 0002;precision@5= 0.3436,precision@10= 0.2937,recall@5= 0.1147,recall@10= 0.1890,map= 0.2310,mrr= 0.5862
 Epoch: 0003;precision@5= 0.3565,precision@10= 0.2979,recall@5= 0.1189,recall@10= 0.1914,map= 0.2347,mrr= 0.6055
 Epoch: 0004;precision@5= 0.3468,precision@10= 0.2987,recall@5= 0.1177,recall@10= 0.1884,map= 0.2341,mrr= 0.5882
 Epoch: 0000;precision@5= 0.3048,precision@10= 0.2560,recall@5= 0.0956,recall@10= 0.1606,map= 0.1896,mrr= 0.5299
 Epoch: 0001;precision@5= 0.3223,precision@10= 0.2738,recall@5= 0.1100,recall@10= 0.1787,map= 0.2101,mrr= 0.5309
 Epoch: 0002;precision@5= 0.3382,precision@10= 0.2876,recall@5= 0.1148,recall@10= 0.1875,map= 0.2226,mrr= 0.5656
 Epoch: 0003;precision@5= 0.3393,precision@10= 0.2919,recall@5= 0.1124,recall@10= 0.1863,map= 0.2241,mrr= 0.5653
 Epoch: 0004;precision@5= 0.3448,precision@10= 0.2928,recall@5= 0.1156,recall@10= 0.1919,map= 0.2273,mrr= 0.5726
